date,time,open,high,low,close,amount,vol
2025-7-28,9:30:0,100.0,100.0,99.999,99.999,2640193.0,264.0
2025-7-28,9:31:0,99.999,99.999,99.999,99.999,1119789.0,112.0
2025-7-28,9:32:0,99.998,99.999,99.998,99.998,570491.0,57.0
2025-7-28,9:33:0,99.998,99.998,99.998,99.998,239995.0,24.0
2025-7-28,9:34:0,99.998,99.999,99.998,99.999,409994.0,41.0
2025-7-28,9:35:0,99.998,99.999,99.998,99.998,109998.0,11.0
2025-7-28,9:36:0,99.999,99.999,99.998,99.998,1109988.0,111.0
2025-7-28,9:37:0,99.999,99.999,99.998,99.999,3520265.0,352.0
2025-7-28,9:38:0,99.999,100.0,99.999,99.999,2090499.0,209.0
2025-7-28,9:39:0,99.999,100.0,99.999,100.0,2160078.0,216.0
2025-7-28,9:40:0,99.999,100.0,99.999,100.0,400000.0,40.0
2025-7-28,9:41:0,99.999,99.999,99.999,99.999,1089989.0,109.0
2025-7-28,9:42:0,99.999,99.999,99.999,99.999,0.0,0.0
2025-7-28,9:43:0,99.999,99.999,99.999,99.999,129999.0,13.0
2025-7-28,9:44:0,99.999,99.999,99.999,99.999,89999.0,9.0
2025-7-28,9:45:0,100.0,100.0,99.999,99.999,180000.0,18.0
2025-7-28,9:46:0,99.999,99.999,99.999,99.999,49999.0,5.0
2025-7-28,9:47:0,99.999,99.999,99.999,99.999,0.0,0.0
2025-7-28,9:48:0,99.999,99.999,99.999,99.999,99999.0,10.0
2025-7-28,9:49:0,99.999,100.0,99.999,100.0,210000.0,21.0
2025-7-28,9:50:0,100.0,100.0,100.0,100.0,0.0,0.0
2025-7-28,9:51:0,100.0,100.0,100.0,100.0,40000.0,4.0
2025-7-28,9:52:0,99.999,99.999,99.999,99.999,50000.0,5.0
2025-7-28,9:53:0,100.0,100.0,100.0,100.0,1850000.0,185.0
2025-7-28,9:54:0,100.0,100.0,99.999,99.999,7539976.0,754.0
2025-7-28,9:55:0,99.999,99.999,99.999,99.999,30000.0,3.0
2025-7-28,9:56:0,99.999,99.999,99.999,99.999,49999.0,5.0
2025-7-28,9:57:0,100.0,100.0,99.999,99.999,209998.0,21.0
2025-7-28,9:58:0,99.999,99.999,99.999,99.999,0.0,0.0
2025-7-28,9:59:0,100.0,100.0,99.999,99.999,30000.0,3.0
2025-7-28,10:0:0,99.999,99.999,99.999,99.999,189998.0,19.0
2025-7-28,10:1:0,99.999,99.999,99.999,99.999,129999.0,13.0
2025-7-28,10:2:0,99.999,99.999,99.999,99.999,0.0,0.0
2025-7-28,10:3:0,100.0,100.0,100.0,100.0,10000.0,1.0
2025-7-28,10:4:0,99.999,100.0,99.999,100.0,1239997.0,124.0
2025-7-28,10:5:0,100.0,100.0,99.999,99.999,200699.0,20.0
2025-7-28,10:6:0,100.0,100.0,99.999,100.0,649996.0,65.0
2025-7-28,10:7:0,100.0,100.0,100.0,100.0,200000.0,20.0
2025-7-28,10:8:0,100.0,100.0,99.999,100.0,2051599.0,205.0
2025-7-28,10:9:0,100.0,100.001,100.0,100.001,70000.0,7.0
2025-7-28,10:10:0,100.001,100.001,100.001,100.001,0.0,0.0
2025-7-28,10:11:0,100.001,100.001,100.001,100.001,0.0,0.0
2025-7-28,10:12:0,100.001,100.001,100.001,100.001,0.0,0.0
2025-7-28,10:13:0,100.0,100.0,100.0,100.0,110000.0,11.0
2025-7-28,10:14:0,100.0,100.0,100.0,100.0,510000.0,51.0
2025-7-28,10:15:0,100.0,100.0,100.0,100.0,260000.0,26.0
2025-7-28,10:16:0,100.0,100.0,100.0,100.0,20000.0,2.0
2025-7-28,10:17:0,100.0,100.0,100.0,100.0,300000.0,30.0
2025-7-28,10:18:0,100.0,100.0,100.0,100.0,218400.0,22.0
2025-7-28,10:19:0,100.0,100.0,100.0,100.0,226400.0,23.0
2025-7-28,10:20:0,100.0,100.0,100.0,100.0,80000.0,8.0
2025-7-28,10:21:0,100.0,100.0,100.0,100.0,0.0,0.0
2025-7-28,10:22:0,100.0,100.0,100.0,100.0,0.0,0.0
2025-7-28,10:23:0,100.0,100.0,100.0,100.0,20300.0,2.0
2025-7-28,10:24:0,100.0,100.001,100.0,100.001,390004.0,39.0
2025-7-28,10:25:0,100.0,100.0,100.0,100.0,10000.0,1.0
2025-7-28,10:26:0,100.0,100.0,100.0,100.0,250000.0,25.0
2025-7-28,10:27:0,100.0,100.0,100.0,100.0,40000.0,4.0
2025-7-28,10:28:0,100.0,100.001,100.0,100.001,30300.0,3.0
2025-7-28,10:29:0,100.001,100.001,100.0,100.0,20000.0,2.0
2025-7-28,10:30:0,100.0,100.0,100.0,100.0,0.0,0.0
2025-7-28,10:31:0,100.0,100.0,100.0,100.0,130000.0,13.0
2025-7-28,10:32:0,100.0,100.0,100.0,100.0,0.0,0.0
2025-7-28,10:33:0,100.0,100.0,100.0,100.0,0.0,0.0
2025-7-28,10:34:0,100.0,100.0,100.0,100.0,0.0,0.0
2025-7-28,10:35:0,100.0,100.0,100.0,100.0,50000.0,5.0
2025-7-28,10:36:0,100.001,100.001,100.0,100.0,20000.0,2.0
