date,time,open,high,low,close,amount,vol
2025-7-28,10:40:0,2.096,2.097,2.095,2.097,1940366.0,9257.0
2025-7-28,10:41:0,2.097,2.097,2.096,2.097,297327.0,1418.0
2025-7-28,10:42:0,2.097,2.097,2.096,2.097,119081.0,568.0
2025-7-28,10:43:0,2.096,2.097,2.096,2.097,2450862.0,11688.0
2025-7-28,10:44:0,2.096,2.097,2.096,2.097,86995.0,415.0
2025-7-28,10:45:0,2.097,2.097,2.096,2.096,8089132.0,38593.0
2025-7-28,10:46:0,2.096,2.096,2.095,2.095,239932.0,1145.0
2025-7-28,10:47:0,2.095,2.096,2.095,2.096,3270168.0,15602.0
2025-7-28,10:48:0,2.096,2.096,2.095,2.096,1678255.0,8007.0
2025-7-28,10:49:0,2.096,2.096,2.095,2.095,3836937.0,18306.0
2025-7-28,10:50:0,2.096,2.096,2.095,2.096,795000.0,3793.0
2025-7-28,10:51:0,2.096,2.096,2.095,2.096,506576.0,2417.0
2025-7-28,10:52:0,2.096,2.096,2.095,2.095,39395.0,188.0
2025-7-28,10:53:0,2.096,2.096,2.095,2.096,55734.0,266.0
2025-7-28,10:54:0,2.096,2.096,2.095,2.095,3143.0,15.0
2025-7-28,10:55:0,2.096,2.096,2.096,2.096,81113.0,387.0
2025-7-28,10:56:0,2.096,2.096,2.096,2.096,77552.0,370.0
2025-7-28,10:57:0,2.095,2.096,2.095,2.096,183187.0,874.0
2025-7-28,10:58:0,2.096,2.096,2.095,2.095,188217.0,898.0
2025-7-28,10:59:0,2.096,2.096,2.095,2.096,1526493.0,7283.0
2025-7-28,11:0:0,2.096,2.097,2.096,2.096,2415451.0,11524.0
2025-7-28,11:1:0,2.097,2.097,2.096,2.097,164347.0,784.0
2025-7-28,11:2:0,2.096,2.097,2.096,2.097,81556.0,389.0
2025-7-28,11:3:0,2.096,2.097,2.095,2.095,4234573.0,20203.0
2025-7-28,11:4:0,2.096,2.096,2.096,2.096,276026.0,1317.0
2025-7-28,11:5:0,2.096,2.096,2.095,2.096,156151.0,745.0
2025-7-28,11:6:0,2.096,2.096,2.095,2.096,75230.0,359.0
2025-7-28,11:7:0,2.096,2.096,2.095,2.095,321283.0,1533.0
2025-7-28,11:8:0,2.096,2.096,2.095,2.095,174387.0,832.0
2025-7-28,11:9:0,2.096,2.096,2.095,2.096,1063898.0,5076.0
2025-7-28,11:10:0,2.096,2.097,2.096,2.096,29982.0,143.0
2025-7-28,11:11:0,2.097,2.097,2.096,2.097,40682.0,194.0
